,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
99,99,year:2009,0.06580819351761522,year,1.1493347582937963,1.0,-0.14933475829379628,1.0
32,32,public_records: 3-4,0.058627567188047035,public_records,1.0239257022819002,1.0,-0.023925702281900163,1.0
37,37,"last_record_months:(69.0, 88.0]",0.05997343830662364,last_record_months,1.0474312321267483,1.0,-0.04743123212674827,1.0
112,112,Region:YorkshireandtheHumber,0.041594902831849044,Region,0.7264516018009302,1.0,0.27354839819906984,1.0
201,69,inquiries_6m: 3-4,0.0,inquiries_6m,0.0,0.0,0.0,0.0
261,129,"mths_since_issue_d:(72.0, 81.0]",0.0,mths_since_issue_d,0.0,0.0,0.0,0.0
204,72,inquiries_6m: >= 8,0.0,inquiries_6m,0.0,0.0,0.0,0.0
260,128,"mths_since_issue_d:(64.0, 72.0]",0.0,mths_since_issue_d,0.0,0.0,0.0,0.0
259,127,"mths_since_issue_d:(48.999, 64.0]",0.0,mths_since_issue_d,0.0,0.0,0.0,0.0
203,71,inquiries_6m: =7,0.0,inquiries_6m,0.0,0.0,0.0,0.0
191,59,delinquency_2y:14.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
192,60,delinquency_2y:15.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
202,70,inquiries_6m: 5-6,0.0,inquiries_6m,0.0,0.0,0.0,0.0
200,68,inquiries_6m: <=2,0.0,inquiries_6m,0.0,0.0,0.0,0.0
198,66,delinquency_2y:22.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
193,61,delinquency_2y:16.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
194,62,delinquency_2y:17.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
258,126,"mths_since_earliest_cr_line:(351.0, 864.0]",0.0,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
195,63,delinquency_2y:18.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
189,57,delinquency_2y:11.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
196,64,delinquency_2y:19.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
199,67,delinquency_2y:29.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
197,65,delinquency_2y:21.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
190,58,delinquency_2y:13.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
241,109,Region:SouthEastEngland,0.0,Region,0.0,0.0,0.0,0.0
188,56,delinquency_2y:10.0,0.0,delinquency_2y,0.0,0.0,0.0,0.0
174,42,"last_derog_months:(-0.001, 23.0]",0.0,last_derog_months,0.0,0.0,0.0,0.0
163,31,public_records: 3-4,0.0,public_records,0.0,0.0,0.0,0.0
164,32,public_records: 7,0.0,public_records,0.0,0.0,0.0,0.0
165,33,public_records: >=8,0.0,public_records,0.0,0.0,0.0,0.0
